manuscript_id,status,title,authors,letter_date,event_name,event_date,location,chair_name,chair_title
1571257569,accepted,Comparative Study of Rice Disease Detection Using ConvNeXt-Base and Conventional CNN Models,"Samuel Welson, S.Kom (Institut Bisnis dan Teknologi Indonesia Indonesia, Indonesia); Aniek Suryanti Kusuma (Institut Bisnis dan Teknologi Indonesia, Indonesia); Putu Sugiartawan (Indonesian Institute of Business and Technology, Indonesia & Informatics Engineering Study Program, Indonesia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571267469,accepted,SentinelGuard-AI: Multi-Type Attack Detection Framework Using Natural Language Processing Processing (NLP) and Deep Q-Networks Reinforcement Learning (DQN-RL),"Carlo Jude P Abuda (Visayas State University, Philippines); Kent Claire Apple Joy M Pallomina (Visayas State University AlangAlang, Philippines); Ketan Raju Kundiya (VPM's Maharshi Parshuram College of Engineering, India); Cristina Dumdumaya (University of Southeastern Philippines, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571267484,accepted,Admission-to-Enrollment Outcome Forecasting Through Predictive Modeling for Visayas State University Alangalang,"Carlo Jude P Abuda (Visayas State University Alangalang, Philippines); Kent Claire Apple Joy M Pallomina (Visayas State University AlangAlang, Philippines); Ronnie L. Luriaga (Visayas State University Alangalang, Philippines); Maureen M Villamor (University of Southeastern Philippines, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571267967,accepted,The Efficacy of Large Language Model Tools in Solving Electrical Circuit Problems,"Mohamad Ramdhani, Athif Fadheel Atharahman, Suksmandhira Harimurti and Diyah Widiyasari (Telkom University, Indonesia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571268176,accepted,Syntax-Preserving Diffusion Modeling of SQL Injection Attack Payloads Using Hilbert Space Feature Mapping,"Carlo Jude P Abuda (Visayas State University, Philippines); Kent Claire Apple Joy M Pallomina (Visayas State University AlangAlang, Philippines); Ketan Raju Kundiya (VPM's Maharshi Parshuram College of Engineering, India)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571273336,accepted,An AI-Assisted QR-Based Assessment Model for Integrating Technical Mandarin and Vocational Competence in Indonesian Vocational Education,"S Sunarti (Universitas Negeri Malang, Indonesia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571279780,accepted,Preliminary FPGA-Based Fixed-Point Feature Extraction for Anomaly Detection in Multi-Sensor Mechatronic Actuator Signals,"I Nyoman Kusuma Wardana (Politeknik Negeri Bali, Indonesia); Ida Bagus Irawan Purnama (Bali State Polytechnic, Indonesia); I Gusti Ngurah Agung Dwijaya Saputra and I Wayan Marlon Managi (Politeknik Negeri Bali, Indonesia); Padma Nyoman Crisnapati (Rajamangala University of Technology Thanyaburi, Thailand); Dechrit Maneetham (Rajamangala University of Technology Thanyaburi & TDS Thailand Company, Thailand)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571280074,accepted,Design and Development of an Outseal PLC Mega-Based Trainer Kit as a Learning Tool for Electrical Motor Installation,"Mustofa Abi Hamid (Universitas Sultan Ageng Tirtayasa, Indonesia & Universitas Negeri Yogyakarta, Indonesia); Nuzulul Fikri and Irwanto (Universitas Sultan Ageng Tirtayasa, Indonesia); Muhammad Nurtanto (Universitas Negeri Jakarta, Indonesia); Bagus Dwi Cahyono (Sultan Ageng Tirtayasa University & FKIP, Indonesia); Muhammad Hakiki (Universitas Negeri Surabaya, Indonesia); Affero Ismail (Universiti Tun Hussein Onn Malaysia, Malaysia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571280332,accepted,Comparative Analysis of GRU and LSTM for Microclimate Prediction in IoT-Enabled Smart Greenhouse,"Madukil Makruf, Mokh Sholihul Hadi and Ilham Ari Elbaith Zaeni (Universitas Negeri Malang, Indonesia); Masdukil Makruf (Department of Informatics Engineering, Universitas Islam Madura, Indonesia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571281021,accepted,"E-Laag: Design, Development, and Evaluation of an Intelligent Mobile Tourism Application for Ubiquitous Travel Support","Randy O. Descarten and Angielee G. Camarin (Surigao del Norte State University, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571281084,accepted,Bagwis: A Co-Designed RPG-Based Ubiquitous Mobile Learning Application for Disaster Risk Reduction Education,"Jasten Keneth D Treceñe (Eastern Visayas State University, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571282959,accepted,Design and Evaluation of 923 MHz Inset-Fed Microstrip Antenna Arrays with 1x2 and 1x4 Configurations for LoRa Applications,"Afandi Sahputra, Syahrial, Teuku Yuliar Arif, Akhyar A and Yunida (Universitas Syiah Kuala, Indonesia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571284761,accepted,Enhancing Electricity Demand Forecasting Using Data Augmentation in a Hybrid Autoformer Framework (HAFF),"Micheline Apolinar-Gotardo (Isabela State University, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571286979,accepted,EEG Signal Analysis with sLORETA for Brain Mapping of Paper and Tablet Drawing in Early Childhood Education,"Osmalina Rahma and Sayyidul Istighfar Ittaqillah (Universitas Airlangga, Indonesia); Devito Andharu (Universitas Dr Soetomo, Indonesia); Nafisa Rahmatul Laili Alami (Universitas Airlangga, Indonesia); Nita Lutfiyah (Institut Teknologi Bandung, Indonesia); Dita Maryani (Indonesia); Rahadian Bisma (Universitas Negeri Surabaya, Indonesia); M Reza Ishadi Fadillah (Universitas Dr Soetomo, Indonesia); Rifai Chai (Swinburne University of Technology, Australia)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
1571287902,accepted,The Smart Scheduler: A Tri-Hybrid Graph-Genetic Approach to Departmental Exam Timetabling,"Milagros Engao, Ritchell S. Villafuerte and Jessie R. Paragas (Eastern Visayas State University, Philippines)",13-Aug-26,2026 Ninth International Conference on Vocational Education and Electrical Engineering (ICVEE),17-18 September 2026,"Surabaya, Indonesia","Prof. Dr. Nurhayati, S.T., M.T.",General Chair
